NAME,Flag
Farragut Partners LLP,2023 registered House lobbyist
"Delta Development Group, Inc.",2023 registered House lobbyist
HUSCH BLACKWELL STRATEGIES,2023 registered House lobbyist
"ENS RESOURCES, INC.",2023 registered House lobbyist
CR Federal,2023 registered House lobbyist
"Taft Stettinius & Hollister LLP dba Taft Advisors LLC fka (Taft, Stettinius & Hollister, LLP)",2023 registered House lobbyist
Best Best & Krieger LLP,2023 registered House lobbyist
Ice Miller LLP,2023 registered House lobbyist
"The Petrizzo Group, Inc.",2023 registered House lobbyist
TIGER HILL PARTNERS LLC,2023 registered House lobbyist
"MWR Strategies, Inc.",2023 registered House lobbyist
"ACTUM I, LLC",2023 registered House lobbyist
Invariant LLC,2023 registered House lobbyist
BOWERS HINMAN CAPITOL AFFAIRS,2023 registered House lobbyist
"Tarplin, Downs & Young, LLC",2023 registered House lobbyist
Watkins & Eager PLLC,2023 registered House lobbyist
"Health and Medicine Counsel, LLC",2023 registered House lobbyist
Forbes-Tate,2023 registered House lobbyist
BGR Government Affairs,2023 registered House lobbyist
SolarEdge Technologies Inc.,2023 registered House lobbyist
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",2023 registered House lobbyist
THE ANGLE,2023 registered House lobbyist
AKIN GUMP STRAUSS HAUER & FELD,2023 registered House lobbyist
Collective Strategies & Communications (formerly known as Collective Communicati,2023 registered House lobbyist
RYAN COSTELLO STRATEGIES,2023 registered House lobbyist
"PLURUS STRATEGIES, LLC",2023 registered House lobbyist
Ott Bielitzki & O'Neill PLLC,2023 registered House lobbyist
CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),2023 registered House lobbyist
VALOON LLC,2023 registered House lobbyist
"Team Subject Matter, LLC",2023 registered House lobbyist
"ZARRELLI STRATEGIES, INC.",2023 registered House lobbyist
Squire Patton Boggs,2023 registered House lobbyist
"Delany Advisory Group, LLC",2023 registered House lobbyist
BLUFF POINT STRATEGIES LLC,2023 registered House lobbyist
PATEL PARTNERS,2023 registered House lobbyist
"Whitmer & Worrall, LLC",2023 registered House lobbyist
Capitol 6 Advisors,2023 registered House lobbyist
"Capitol Core Group, Inc.",2023 registered House lobbyist
Huxley Rock LLC,2023 registered House lobbyist
BALLARD PARTNERS,2023 registered House lobbyist
"LONGBOW PUBLIC POLICY GROUP, LLC",2023 registered House lobbyist
DUNCAN & VIEHMAN STRATEGIES,2023 registered House lobbyist
HOLLAND & KNIGHT LLP,2023 registered House lobbyist
The Ferguson Group,2023 registered House lobbyist
