Committee ID,Committee FEC Name,Associated candidate and district,112th-118th Congress: Number of Life at Conception cosponsorships,Life at Conception 118th Congress cosponsor,Life at Conception 117th Congress cosponsor,Life at Conception 116th Congress cosponsor,Life at Conception 115th Congress cosponsor,Life at Conception 114th Congress cosponsor,Life at Conception 113th Congress cosponsor,Life at Conception 112th Congress cosponsor,Voted against certifying 2020 election,RSC Member,Voted to repeal ACA (American Health Care Act),PACT Act,Mifepristone amicus brief,Election overturn amicus brief,Voted against Bipartisan Infrastructure Law,Voted against the PRO Act,Voted for Tax Cuts and Jobs Act,Voted against Inflation Reduction Act
C00608695,MIKE JOHNSON FOR LOUISIANA,Mike Johnson (LA-04),4,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1
C00639229,AMERICAN REVIVAL PAC,Mike Johnson (LA-04),4,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1
C00326439,HOUSE CONSERVATIVES FUND,Mike Johnson (LA-04) Jim Banks (IN-03) Ben Cline (VA-06),11,3,3,3,2,0,0,0,1,3,1,1,1,1,1,1,1,1
C00487942,REACHING FOR A BRIGHTER AMERICA PAC,Robert B. Aderholt (AL-04),6,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1
C00313247,ROBERT ADERHOLT FOR CONGRESS,Robert B. Aderholt (AL-04),6,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1
C00260547,BACHUS FOR CONGRESS COMMITTEE,Spencer Bachus (former AL-06),2,,,,,,1,1,,,,,,,,,,
C00388793,GROWTH AND PROSPERITY POLITICAL ACTION COMMITTEE,Spencer Bachus (former AL-06),2,,,,,,1,1,,,,,,,,,,
C00375220,JO BONNER FOR CONGRESS COMMITTEE,Jo Bonner (former AL-01),1,,,,,,,1,,,,,,,,,,
C00524611,MAKE OPPORTUNITY POLITICAL ACTION COMMITTEE,Mo Brooks (former AL-05),4,,1,1,1,,,1,1,,1,1,,1,1,1,,1
C00464149,MO BROOKS FOR CONGRESS,Mo Brooks (former AL-05),4,,1,1,1,,,1,1,,1,1,,1,1,1,,1
C00545673,BYRNE FOR CONGRESS,Bradley Byrne (former AL-01),4,,,1,1,1,1,,,,1,,,1,,,1,
C00559633,BRINGING YELLOWHAMMER REPUBLICANS NEW ENERGY (BYRNE PAC),Bradley Byrne (former AL-01),4,,,1,1,1,1,,,,1,,,1,,,1,
C00752287,CONSERVATIVE AMERICAN REPUBLICAN LEADERSHIP PAC,Jerry Carl (AL-01),2,1,1,,,,,,1,1,,,1,,1,1,,
C00697789,JERRY CARL FOR CONGRESS,Jerry Carl (AL-01),2,1,1,,,,,,1,1,,,1,,1,1,,
C00784868,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY,Barry Moore (AL-02),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00720375,BARRY MOORE FOR CONGRESS,Barry Moore (AL-02),2,1,1,,,,,,1,1,,,1,,1,1,,1
C00585893,CONSERVATIVE PROMISES PAC,Gary Palmer (AL-06),5,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
C00551374,GARY PALMER FOR CONGRESS,Gary Palmer (AL-06),5,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
C00462143,MARTHA ROBY FOR CONGRESS,Martha Roby (former AL-02),4,,,1,1,1,,1,,,1,,,,,,1,
C00527309,MARTHA PAC,Martha Roby (former AL-02),4,,,1,1,1,,1,,,1,,,,,,1,
C00439521,AMERICAN SECURITY PAC,Mike Rogers (AL-03),6,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,
C00367862,MIKE ROGERS FOR CONGRESS,Mike Rogers (AL-03),6,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,
C00823500,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,Dale Strong (AL-05),1,1,,,,,,,,1,,,1,,,,,
C00774281,DALE STRONG FOR CONGRESS,Dale Strong (AL-05),1,1,,,,,,,,1,,,1,,,,,
C00345199,MIDNIGHT SUN POLITICAL ACTION COMMITTEE,Don Young (Formerly AK-AL),4,,1,1,1,1,,,,,1,,,,,,1,
C00012229,ALASKANS FOR DON YOUNG,Don Young (Formerly AK-AL),4,,1,1,1,1,,,,,1,,,,,,1,
